10 -0  0  0  0
     10       0 56.1132 -2.0084       0
-1.88966 -25.4128  75.0552 -79.7143        0
-16.3766  9.20585  15.4096 -126.284        0
 -10.109  4.72466 -21.0353 -126.239        0
-18.9338  10.4469 -29.1525 -85.4038        0
-6.74773  2.44903 -53.3486 -91.7099        0
 15.2109 -12.6948 -70.1489 -51.3922        0
0.141178  18.9773 -61.5039 -24.7857        0
-28.7775  8.51833 -24.1329 -2.74437        0
-17.6506  13.1864 -10.7045 -9.20442        0
-12.4278  14.3563  41.5636 -14.3737        0
-17.2972 -5.84701  6.88405 -20.6077        0
-17.9382 -9.22882  31.4133 -12.1707        0
-3.44524 -3.17453  30.9884 -15.7045        0
-18.9394 -3.22775  37.5954  -9.4152        0
-37.7362 -3.40774  34.7325 -13.5672        0
-28.3655 -18.0288  49.7912  -3.3673        0
-52.6296 -12.4573  55.5274  4.46978        0
-59.2995 -39.4079  55.5274  4.46978        0
-65.9694 -66.3585  55.5274  4.46978        0
